,Sentence
0,சென்னை அருகே ஸ்ரீ பெரும்புதூரில் கிரீன் பீல்டு ( நவீன ) விமான நிலையத்துக்குக்க்ஆன நிலம் யாருக்கும் பாதிப்பு இல்லாத வகையில் எடுக்கப் படும் என்று முதல்வர் கருணாநிதி உறுதியளித்த்உள்ளார் .
1,"இது தொடர்பாக , அவர் புதன்கிழமை வெளியிட்ட அறிக்கை : ."
2,"நாடு முழுவதும் விமானப் போக்குவரத்தில் ஏற்பட்டு வரும் வளர்ச்சியைக் கருத்தில் கொண்டு , முக்கிய நகரங்களில் உள்ள விமான நிலையங்களை விரிவுபடுத்தவ்உம் , புதிதாக சர்வதேச விமான நிலையங்களை அமைக்கவ்உம் மத்திய அரசு முடிவு செய்தது ."
3,"அதன்படி , புதுதில்லி , மும்பை , கொல்கத்தா , சென்னை ஆகிய விமான நிலையங்களை மேம்படுத்த புதிய திட்டங்கள் உருவாக்கப்பட்டு நிறைவேற்றப் படுகின்றன ."
4,"கர்நாடகத்தில்உம் , ஆந்திரத்தில்உம் கிரீன் பீல்டு விமான நிலையங்களை அமைத்து தமிழகத்தை முந்திக் கொண்டு விட்டனர் ."
5,"ஆனால் , இந்த வரிசையில் சென்னை அருகே அமைக்கப்படஉள்ள கிரீன் பீல்டு விமான நிலையத்துக்கு பாதிப்பு ஏற்படும் வகையில் அதிமுக பொதுச் செயலாளர் ஜெயலலிதா , பா.ம.க. நிறுவனர் ராமதாஸ் ஆகியோர் போராட்ட அறிவிப்பை வெளியிட்ட்உள்ளனர் ."
6,மத்திய அரசு புதிதாகக் கொண்டுவந்த்உள்ள தொல்பொருள் ஆய்வுச் சட்டம் மக்களின் அடிப்படை உரிமைகளைப் பறிக்கும் வகையில் உள்ளதால் அதை திரும்பப் பெற வேண்டும் என மதிமுக பொதுச்செயலர் வைகோ கோரிக்கை விடுத்த்உள்ளார் .
7,இதுகுறித்து அவர் வெளியிட்ட்உள்ள அறிக்கை : .
8,"பண்பாட்டு அடையாளங்களைப் பாதுகாக்க தொல்பொருள் ஆய்வுத் துறை உருவாக்கப்பட்டு , தனிச் சட்டங்கள் இயற்றப்பட்டு உள்ளன ."
9,"ஆனால் , இந்த அமைப்பு உருவாவதற்கு முன்பு அப்பகுதியில் வாழ்ந்தவர்கள் தான் பாதுகாத்து வந்தனர் ."
10,"அப்படிப் பாதுகாத்த மக்களை , அவர்களது வாழ்விடங்கள்இலிருந்து அகற்றி , உள்நாட்டு அகதிகள்ஆக மாற்றுகின்ற வகையில் , மத்தியில் ஆளும் காங்கிரஸ் - தி.மு.க. கூட்டணி அரசு புதிதாக ஒரு தொல்பொருள் ஆய்வுச் சட்டத்தைக் கொண்டு வந்து உள்ளது ."
11,"இச்சட்டம்குறித்து , தமிழ் உள்ளிட்ட மாநில மொழிகளில்உம் மற்றும் ஆங்கிலத்தில்உம் அனைத்து நாளிதழ்களில்உம் முழுப்பக்க அளவில் விளம்பரப்படுத்தி உள்ளது ."
12,"புதிய சட்டத்தின் படி , பாதுகாக்கப்பட்ட நினைவுச் சின்னத்த்இலிருந்து 1000 அடி வரை எந்த கட்டுமானம்உம் கட்ட அனுமதி இல்லை ."
13,மீறுவோருக்கு ஒரு லட்சம் அபராதத் தொகைய் உடன் மூன்று ஆண்டுகள் சிறைத் தண்டனை .
14,"குடும்பத்தினர் எண்ணிக்கை பெருகி இட நெருக்கடி ஏற்படும் நிலையில் தங்களின் மூதாதையர்கள் வாழ்ந்த வீட்டை விரிவாக்கம் செய்யவ்ஓ , கூடுதல் அறைய்ஓ , தாழ்வாரம்ஓ , கழிப்பு அறைய்ஓ கட்டினால்கூட இச்சட்டத்தின் படி வீட்டின் உரிமையாளர்உம் , சம்பந்தப்பட்ட அரசு அதிகாரிகள்உம் தண்டிக்கப் படுவார்கள் ."
15,"ஏற்கனவே வாழ்ந்து வரும் வீடுகள் தொல்பொருள் ஆய்வுத்துறையின் அனுமதி பெறாமல் கட்டப்பட்டு இருப்பின் , அவற்றை இடிப்பதற்க்உம் அதிகாரம் வழங்கப்பட்டு உள்ளது ."
16,இப்பகுதிகளில் புதிதாக மின் இணைப்புகள் இனி வழங்கப்பட மாட்டாது .
17,இந்தப் புதிய சட்டம் சுதந்திர இந்தியாவில் வாழ்வதற்கு வழங்கப்பட்டு உள்ள அடிப்படை உரிமைகளைப் பறிக்கும் வகையில் அமைந்த்உள்ளது .
18,"மீன்பிடி ஒழுங்குமுறைச் சட்டத்தை எதிர்த்து , மீனவ மக்கள் கிளர்ந்து எழுந்து போராடியதைப் போல , தொல்பொருள் ஆய்வுத்துறை கொண்டு வந்து உள்ள சட்டத்தைய்உம் எதிர்த்து மக்கள் போராட வேண்டும் ."
19,உலகின் மிகச் சிறந்த நாடுகள் பட்டியலில் இந்தியாவுக்கு 78வது இடம் கிடைத்த்உள்ளது .
20,"அமெரிக்க பத்திரிகைய்ஆன நியூஸ்வீக் , உலக நாடுகளில் சுகாதாரம் , கல்வி , பொருளாதாரம் , அரசியல் ஆகிய அம்சங்களை அடிப்படைய்ஆக வைத்துத் தொகுத்ததில் இந்த முடிவு வெளியாகிய்உள்ளது ."
21,"இந்தியாவின் அண்டை நாடுகள்ஆன சீனா 59வது இடத்தைய்உம் , இலங்கை 66வது இடத்தைய்உம் பங்களாதேஷ் மற்றும் பாகிஸ்தான் ஆகியவை முறையே 88 மற்றும் 89வது இடத்தைய்உம் பிடித்த்உள்ளன ."
22,"ஆசிய நாடுகளில் , ஜப்பான் , தென்கொரியா , சிங்கப்பூர் ஆகிய மூன்று நாடுகள் மட்டுமே முதல் 20 இடங்களுக்க்உள் உள்ளன ."
23,"இந்தப் பட்டியலில் முதல் நான்கு இடங்களைப் பிடித்த நாடுகள் , பின்லாந்து , சுவிட்சர்லாந்து , ஸ்வீடன் , ஆஸ்திரேலியா அகியவை ."
24,"அமெரிக்கா 11வது இடத்தைய்உம் , ஜெர்மனி 12வது இடத்தைய்உம் , இங்கிலாந்து 14வது இடத்தைய்உம் பிடித்த்உள்ளன ."
25,நியூஸ்வீக் இதழ் சார்பில் முதல் முறையாக நாடுகளைப் பற்றிய கருத்துக் கேட்பு மூலம் நடத்திய சர்வேயில் இந்த முடிவுகள் தெரிய வந்தன .
26,வாசகர்களிடம் ‘ உலகில் ஆரோக்கியம்ஆகவ்உம் பாதுகாப்ப்ஆகவ்உம் நல்ல முறையில் வாழவ்உம் தகுந்த நாட்ஆக நீங்கள் கருதும் எந்த நாட்டில் பிறக்க விரும்புகிறீர்கள் ? ’ என்று கேள்வி கேட்கப்பட்டது .
27,அதற்க்ஆன பதில் ஆகக் கிடைத்ததில் இந்த முடிவுகள் தெரிய வந்தன என்று அந்தப் பத்திரிகையின் சார்பில் தெரிவிக்கப்பட்ட்உள்ளது .
28,"இத்ஏ சர்வேயில் , ’ அதிகம் நேசிக்கப் படும் உலகத் தலைவர்கள் யார் ? ’ என்ற கருத்துக் கணிப்பில் , இந்தியப் பிரதமர் மன்மோகன் சிங் முதலிடம் பிடித்தார் என்பது குறிப்பிடத் தக்கது ."
29,எம்பிக்களுக்கு மேலும் ரூ. 10 ஆயிரம் ஊதிய உயர்வு அறிவிக்கப்பட்ட்உள்ளது .
30,"முன்னர் அறிவிக்கப்பட்ட ஊதிய உயர்வ்உடன் , அலுவலகம் மற்றும் தொகுதி செலவினங்களுக்க்ஆன படிகளை தலா ரூ 5 ஆயிரம் கூடுதலாக வழங்க பிரதமர் மன்மோகன் சிங் தலைமையில் நடைபெற்ற மத்திய அமைச்சரவைக் கூட்டத்தில் முடிவெடுக்கப்பட்டது ."
31,"முன்னதாக , எம்பிக்களுக்க்ஆன ஊதியத்தை ரூ 16 ஆயிரத்த்இலிருந்து ரூ 80 ஆயிரம்ஆக உயர்த்தி வழங்க வேண்டும் என நாடாளுமன்ற கூட்டுக் குழு பரிந்துரை செய்த் இருந்தது ."
32,இதை அரசு ஏற்கவ்இல்லை .
33,கடந்த வாரம் நடைபெற்ற மத்திய அமைச்சரவைக் கூட்டத்தில் எம்பிக்களின் ஊதியத்தை ரூ 50 ஆயிரம்ஆக உயர்த்த முடிவெடுக்கப்பட்டது .
34,இதற்கு எம்பிக்களில் ஒரு பிரிவினர் அதிருப்தி தெரிவித்தனர் .
35,"ஊதிய உயர்வு தொடர்பாக நிதி அமைச்சர் பிரணாப் முகர்ஜியை பாஜக , ராஷ்ட்ரீய ஜனதாதளம் , சமாஜவாதி மற்றும் ஐக்கிய ஜனதாதள தலைவர்கள் சனிக்கிழமைய்அன்று சந்தித்தனர் ."
36,இவ்விவகாரத்தில் அரசு உரிய நடவடிக்கை எடுக்கும் என பிரணாப் முகர்ஜி அப்போது உறுதியளித்த்இருந்தார் .
37,இந்த நிலையில் மேலும் ரூ 10 ஆயிரம் ஊதியத்தை உயர்த்த அமைச்சரவைக் கூட்டத்தில் முடிவெடுக்கப்பட்ட்உள்ளது .
38,திருநெல்வேலி அண்ணா பல்கலைக்கழகத் துணைவேந்தர் காளியப்பன் இன்று அதிமுக பொதுச்செயலர்உம் எதிர்கட்சித் தலைவர்உம்ஆன ஜெயலலிதாவை சந்தித்துப் பேசினார் .
39,இச்சந்திப்பின்போது துணைவேந்தர் காளியப்பனின் மனைவிய்உம் உடன் வந்த்இருந்தார் .
40,இது மரியாதை நிமித்தம்ஆன சந்திப்பு என்று அதிமுக சார்பில் வெளியிடப்பட்ட்உள்ள செய்திக்குறிப்பில் தெரிவிக்கப்பட்ட்உள்ளது .
41,திருச்செந்தூர் அருள்மிகு சுப்பிரமணியசுவாமி திருக்கோயிலில் ஆவணித் திருவிழா இன்று கொடியேற்றத்த்உடன் தொடங்கியது .
42,இத்திருவிழா தொடர்ந்து 12 நாட்கள் நடைபெறுகிறது .
43,திருவிழா தொடக்க நாள்ஆன இன்று அதிகாலை 1 மணிக்கு திருக்கோயில் நடைதிறக்கப்பட்டது .
44,1.30 மணிக்கு விஷ்வரூப தரிசனம் நடைபெற்றது .
45,2 மணிக்கு உதய மார்த்தாண்ட அபிஷேகம் நடைபெற்றது .
46,அதனைத் தொடர்ந்து மற்ற பூஜை காலங்கள் நடைபெற்றது .
47,"அதிகாலை 4 மணிக்கு திருக்கோயில்இலிருந்து வெள்ளிப் பல்லக்கில் வைத்து கொடி பட்டம் 9 சந்திகள் வழியாக வீதி உலா கொண்டு வரப்பட்டு , அதிகாலை 5.20 மணிக்கு வேதங்கள் ஓத , பஞ்வாத்தியங்கள் முழங்க , பக்தர்களில் ஆரோகரா கோஷத்த்உடன் , திருக்கோயிலில் உள்ள செப்பு கொடி மரத்தில் , சிவாச்சாரியர்களால் ஆவணித் திருவிழா கொடியேற்றப்பட்டது ."
48,"இங்கிலாந்துக்கு எதிரான போட்டியில் பாகிஸ்தான் கிரிக்கெட் வீரர்கள் சூதாட்டத்தில் ஈடுபட்டத்ஆகத் தெரிய வந்தால் , அவர்களுக்கு வாழ்நாள் தடை விதிக்க வேண்டும் என இங்கிலாந்து அணியின் முன்னாள் பேட்ஸ்மேன் ஆலன் லாம்ப் கோரிக்கை விடுத்துள்ளார் ."
49,"சர்வதேச கிரிக்கெட்டில் மோசடிக்கு இடம்தரக் கூடாது எனக் கூறிய லாம்ப் , எந்த வீரர் ஆவது சூதாட்டத்தில் ஈடுபட்டது தெரிய வந்தால் அவருக்கு வாழ்நாள் முழுவதும் கிரிக்கெட் விளையாடத் தடைவிதிக்க வேண்டும் என்றார் ."
50,"இந்தியா அளிக்க முன்வந்த வெள்ள நிவாரண நிதியை முதலில் ஏற்கத் தயக்கம் காட்டி , பின்னர் ஏற்றுக்கொள்வத்ஆக அறிவித்த பாகிஸ்தான் , தற்போது அந்த நிதி உதவியை நேரடியாக ஏற்றுக்கொள்ளாமல் ஐக்கிய நாடுகள் சபை மூலமாக ஏற்க தீர்மானித்த்உள்ளது ."
51,பாகிஸ்தானில் ஐக்கிய நாடுகள் சபையின் பல்வேறு குழுக்கள் வெள்ள நிவாரண நடவடிக்கைகளில் பணியாற்றி வருகின்றன .
52,எனவே ஐநா சபை மூலமாக நிதி உதவியை அளிக்கும் ஆறு இந்தியாவுக்கு தகவல் அனுப்பிய்உள்ளோம் என அந் நாட்டின் வெளியுறவுத் துறை செய்தித்தொடர்பாளர் அப்துல் பாசித் தெரிவித்தார் .
53,பாகிஸ்தானின் கொள்கைப்படி இந்த முடிவு எடுக்கப் பட்டத்ஆக அவர் கூறினார் .
54,இலங்கையில் நடைபெற்ற முத்தரப்பு கிரிக்கெட் தொடரின் இறுதிப்போட்டி நேற்று முடிவடைந்ததைத் தொடர்ந்து மகேந்திர சிங் தோனி தலைமையில்ஆன இந்திய கிரிக்கெட் அணி இன்று நாடு திரும்பியது .
55,இலங்கைய்இலிருந்து இந்திய வீரர்கள் அனைவரும் இன்று காலை சென்னை வந்தனர் .
56,பின்னர் கேப்டன் தோனியைத்தவிர அனைவரும் தங்கள் சொந்த ஊருக்குப் புறப்பட்டுச் சென்றனர் .
57,"சென்னை சூப்பர் கிங்ஸ் அணியின் கேப்டன்ஆகவ்உம் உள்ள தோனி , சென்னையில் நாளை மாலை ஐபிஎல் அணி சார்பில் ஏற்பாடு செய்யப்பட்ட்உள்ள பாராட்டு விழாவில் கலந்து கொள்வார் என எதிர்பார்க்கப் படுகிறது ."
58,இந்தியாவுக்கு எதிரான போட்டியின் போது 800 டெஸ்ட் விக்கெட்டுகளை வீழ்த்திய முதல் கிரிக்கெட் வீரர் என்ற பெருமையைப் பெற்ற இலங்கை வீரர் முத்தையா முரளிதரன்உம் அந்த விழாவில் கௌரவிக்கப்படஉள்ளத்ஆகத் தகவல்கள் தெரிவித்தன .
59,வெனிசூலா தேசிய பாதுகாப்புப் படைக்கு சொந்தம்ஆன ஹெலிகாப்டர் ஒன்று கொலம்பிய எல்லை அருகே விபத்துக்குள்ளானதில் அதில் இருந்த 10 வீரர்கள்உம் உயிரிழந்தத்ஆக அந் நாட்டு அதிபர் ஹியுகோ சாவேஸ் தெரிவித்தார் .
60,ரஷ்யத் தயாரிப்ப்ஆன எமை-17 ஹெலிகாப்டர் ஓடுதளத்த்இலிருந்து புறப்பட்ட சில நிமிடங்களுக்க்உள்ளாகவே விபத்துக்குள்ளானதுகுறித்து விசாரணை நடைபெற்று வருவத்ஆக சாவேஸ் தொலைக்காட்சியில் பேசும் போது தெரிவித்தார் .
61,தென்மேற்கு அபூர் மாநிலத்தில் போதைமருந்து கடத்தலில் ஈடுபட்ட்உள்ள குழுவினரைத் தேடும் பணியில் ஈடுபட்ட்இருந்த போது அந்த ஹெலிகாப்டர் விபத்துக்குள்ளானத்ஆக தேசிய பாதுகாப்புப் படையின் தலைவர் லூயிஸ் ஆல்ஃப்ரடோ தெரிவித்தார் .
62,கங்கையை மாசுபடுத்திய 65 தொழிற்சாலைகள் மூடப்பட்டு விட்டத்ஆக உத்தரப்பிரதேச மாசுக்கட்டுப்பாட்டு வாரியம் தெரிவித்த்உள்ளது .
63,"ஆகஸ்ட் 28-ம் தேதி கான்பூர் ஐஐடி ஏற்பாடு செய்த் இருந்த கங்கை ஆற்று நதிநீர்ப் படுகை நிர்வாகப் பயிலரங்கில் பங்கேற்றுப் பேசிய மத்திய அமைச்சர் ஜெய்ராம் ரமேஷ் , கங்கையை சுத்தப்படுத்துவதில் உத்தரப்பிரதேச மாசுக் கட்டுப்பாட்டு வாரியத்தின் செயலின்மைகுறித்து விமர்சித்த்இருந்தார் ."
64,"இந்த நிலையில் கங்கை நதியை சுத்தப்படுத்த நடவடிக்கைகள் எடுக்கப்பட்டு வருவத்ஆகவ்உம் , அதை மாசுபடுத்தி வந்த 65 தொழிற்சாலைகள் மூடப்பட்டு விட்டத்ஆகவ்உம் உத்தரப்பிரதேச மாசுக்கட்டுப்பாட்டு வாரியம் தெரிவித்த்உள்ளது ."
65,மாசுக்கட்டுப்பாட்டு வாரியம் செயல்படாமல் உள்ளது என்ற மத்திய அமைச்சரின் கருத்தில் தங்களது துறைக்கு உடன்பாடு இல்லை என உத்தரப்பிரதேச மாசுக்கட்டுப்பாட்டு வாரிய மண்டல அதிகாரி ராதேஷ்யாம் தெரிவித்தார் .
66,பாகிஸ்தான் சிறையில் அடைக்க ப்பட்ட்இருந்த 100 இந்திய மீனவர்கள் இன்று விடுதலை செய்யப் பட்டனர் .
67,தண்டனைக் காலத்தை தாண்டிய்உம் அவர்கள் சிறையில் அடைக்கப்பட்ட்உள்ளனர் என்று புகார் கூறப்பட்ட நிலையில் அவர்கள் விடுவிக்கப்பட்ட்உள்ளனர் .
68,"மேலும் , 342 மீனவர்கள் அடுத்த வாரம் விடுதலை செய்யப் படுவார்கள் என்று லாந்தி சிறைச்சாலையின் துணை கண்காணிப்பாளர் ஷாகிர் ஷா தெரிவித்தார் ."
69,அரபிக் கடலில் மீன் பிடிக்கும் மீனவர்கள் எல்லை தாண்டி வந்த குற்றச்சாட்டில் அவ்வப்போது இருதரப்பில்உம் கைது செய்யப் படுகின்றனர் என்பது குறிப்பிடத் தக்கது .
70,தான் ஒரு முஸ்லீம் என ஐந்தில் ஒரு அமெரிக்கர் நம்புவத்ஆக சமீபத்தில் வெளியான கருத்துக் கணிப்புகுறித்து கவலைப்பட போவத்இல்லை என அந் நாட்டின் அதிபர் பராக் ஒபாமா தெரிவித்தார் .
71,ஒபாமா முஸ்லீம் என 18 சதவீத மக்கள் நம்புவத்ஆக பியு ஆராய்ச்சி மையம் இம்மாதத் தொடக்கத்தில் கருத்துக் கணிப்பு வெளியிட்ட்இருந்தது .
72,"மார்ச் 2009-ல் 11 சதவீதத்தினர் தான் நம்பியத்ஆகவ்உம் , அது இப்போது அதிகரித்த்உள்ளத்ஆகவ்உம் அந்த கருத்துக் கணிப்பில் தெரிவிக்கப்பட்ட்இருந்தது ."
73,"மேலும் ஒபாமா கிறிஸ்துவர் என கடந்த ஆண்டு 48 சதவீதத்தினர் நம்பியத்ஆகவ்உம் , அது இப்போது 34 சதவீதம் ஆகக் குறைந்து விட்டத்ஆகவ்உம் அதில் தெரிவிக்கப்பட்டது ."
74,"தனது மதம் தொடர்பான குழப்பத்துக்கு கண்டனம் தெரிவித்த ஒபாமா , இது போன்ற வதந்திகளுக்க்ஆக தான் பெரிதும் கவலைப்படப் போவத்இல்லை என்றார் ."
75,சூதாட்டப் புகாரில் சிக்கிய்உள்ள கிரிக்கெட் வீரர்களை லண்டன் போலீஸார் கைது செய்ய மாட்டார்கள் என பாகிஸ்தான் கிரிக்கெட் வாரிய அதிகாரி தெரிவித்த்உள்ளார் .
76,"ஸ்பாட் ஃபிக்சிங் எனப்படும் ஆட்ட நிகழ்வுகளை முன்கூட்டியே தீர்மானிக்கும் மோசடியுடன் தொடர்புடையதாக குற்றம் சாட்டப்பட்ட்இருக்கும் பாகிஸ்தான் கிரிக்கெட் அணித் தலைவர் சல்மான் பட் , முகமது ஆசிப் , முகமது அமீர் ஆகியோரை ஸ்காட்லாந்து யார்டு போலீஸார் இரண்டாவது முறையாக இன்று விசாரிக்கவ்உள்ளனர் ."
77,இதனால் அவர்கள் கைது செய்யப்படக்கூடும் எனக் கருதப்பட்டது .
78,"இந்த நிலையில் , நேற்று செய்தியாளர்களிடம் பேசிய பாகிஸ்தான் கிரிக்கெட் அணியின் மேலாளர் யாவர் சயீத் , "" புகாரில் சிக்கிய் இருக்கும் மூன்று வீரர்களைய்உம் லண்டன் தூரகரத்தில் வைத்து பாகிஸ்தான் கிரிக்கெட் வாரிய அதிகாரிகள் மட்டுமே விசாரிப்பத்ஆக இருந்தது ."
79,"தற்போது ஸ்காட்லாந்து யார்டு போலீஸார்உம் இரண்டாவது முறையாக விசாரிக்கவ்உள்ளனர் "" என்றார் ."
80,"எனினும் இதுவரை யார் மீதும் ஸ்காட்லாந்து யார்டு போலீஸார் குற்றம்சாட்டவ்இல்லை எனத் தெரிவித்த்இருக்கும் அவர் , வீரர்கள் சார்பில் விசாரணையை எதிர்கொள்வதற்க்ஆக வழக்கறிஞர் ஒருவர் நியமிக்கப்பட்ட்இருப்பத்ஆகவ்உம் கூறினார் ."
81,இப்போதைக்கு யாரும் கைது செய்யப் படும் நிலையில் இல்லை என்று அவர் மேலும் தெரிவித்த் இருக்கிறார் .
82,அதிமுக பொதுச் செயலாளர் ஜெயலலிதா செவ்வாய்க்கிழமை கொடநாடு எஸ்டேட் வந்தார் .
83,"சென்னைய்இலிருந்து செவ்வாய்க்கிழமை தனி விமானம் மூலம் கோவை வந்த ஜெயலலிதா , அங்கிருந்து கார் மூலம் கொடநாடு எஸ்டேட்டிற்கு செவ்வாய்க்கிழமை மாலை வந்தார் ."
84,"வரும் வழியில் நீலகிரி மாவட்ட எல்லைய்ஆன குஞ்சப்பனையில் மாவட்ட அதிமுக செயலர் செல்வராஜ் , அண்ணா தொழிற்சங்க மாநிலச் செயலர் ஜெயராமன் உள்ளிட்டோர் வரவேற்றனர் ."
85,அதையடுத்து கொட்டகம்பை பகுதியில் கொணவக்கரை ஊராட்சித் தலைவர் வீரமுத்து தலைமையில் ஊர்மக்கள் சிறப்பான வரவேற்பு அளித்தனர் .
86,"தொடர்ந்து , அரவேணு பகுதியில் சக்கத்தா கணேஷ் தலைமையில்உம் , டானிங்டன் பகுதியில் சிடிசி ஜப்பார் தலைமையில்உம் வரவேற்பு அளிக்கப்பட்டது ."
87,"பின்னர் எஸ்.கைகாட்டி , குருக்கட்டி , ஈளாடா ஆகிய பகுதிகளில்உம் வரவேற்பு அளிக்கப்பட்டது ."
88,"கொடநாடு எஸ்டேட் நுழைவாயிலுக்கு வந்த ஜெயலலிதாவை முன்னாள் அமைச்சர் ஏ.கே.செல்வராஜ் , அதிமுக பிரமுகர்கள் எல்.மணி , கே.கே.மாதன் உள்ளிட்டோர் வரவேற்றனர் ."
89,வழியெங்கும் அளிக்கப்பட்ட வரவேற்புகளில் பொதுமக்கள் அளித்த பூங்கொத்துகளை ஜெயலலிதா பெற்றுக் கொண்டார் .
90,ஜெயலலிதா கொடநாடு எஸ்டேட்டில் 40 நாட்கள் வரை தங்கிய்இருந்து முக்கிய அரசியல் பணிகளை மேற்கொள்ள இருப்பத்ஆக அதிமுக வட்டாரங்கள் தெரிவித்தன .
91,தமிழக அரசின் புதிய தலைமைச் செயலாளர்ஆக எஸ்.மாலதி செவ்வாய்க்கிழமை ( ஆகஸ்ட் 31 ) பொறுப்பேற்றுக் கொண்டார் .
92,"தலைமைச் செயலாளர்ஆக இருந்த கே.எஸ்.ஸ்ரீபதி ஓய்வுபெற்றதைத் தொடர்ந்து , மாலதி அந்தப் பொறுப்பை ஏற்ற்உள்ளார் ."
93,மாலதி ஏற்கெனவே வகித்து வரும் விழிப்புப் பணி மற்றும் கண்காணிப்புத்துறை ஆணையாளர் பதவி அவர் இடம்ஏ கூடுதல் பொறுப்பாக அளிக்கப்பட்ட்உள்ளது .
94,"புதிய தலைமைச் செயலாளர்ஆக நியமிக்கப் பட்டதற்கு தனது வாழ்த்துகளைத் தெரிவித்து விட்டு , பொறுப்புகளை மாலதிய் இடம் ஒப்படைத்தார் ஸ்ரீபதி ."
95,1977-ம் ஆண்டு ஐ.ஏ.எஸ். அணியைச் சேர்ந்தவர் மாலதி .
96,"தஞ்சையை பூர்வீகம் ஆகக் கொண்ட அவர் , 1954-ம் ஆண்டு பிறந்தார் ."
97,"தமிழ் , கன்னடம் , இந்தி , ஆங்கிலம் ஆகிய மொழிகளில் பேசவ்உம் , எழுதவ்உம் தெரிந்தவர் ."
98,"எம்.எஸ்ஸி. , விலங்கியல் படிப்பை சென்னைப் பல்கலைக்கழகத்தில் படித்த மாலதி , பிரிட்டனில் நிதி குறித்த பட்டயப் படிப்பைப் படித்தார் ."
99,திருச்சியில் உதவி ஆட்சியர்ஆக ( பயிற்சி ) தனது ஐ.ஏ.எஸ். பணியைத் தொடங்கினார் .
100,"அடுத்தடுத்த ஆண்டில் துணை ஆட்சியர்ஆகவ்உம் , நிதி மற்றும் பொதுத் துறைகளில் சார்பு மற்றும் இணைச் செயலாளர்ஆகவ்உம் பதவி வகித்தார் ."
101,1987-ம் ஆண்டில் வேலூர் மாவட்ட ஆட்சியர்ஆக பணியாற்றினார் .
102,"1992-ம் ஆண்டில் வேலைவாய்ப்பு மற்றும் பயிற்சித் துறை இயக்குநர்ஆகவ்உம் , அதற்கடுத்த ஆண்டு நிதித்துறை சிறப்புச் செயலாளர்ஆகவ்உம் பொறுப்பு வகித்தார் ."
103,1996-ம் ஆண்டில் நகராட்சி நிர்வாகம் மற்றும் குடிநீர் வழங்கல் துறை செயலாளர்ஆக இருந்தார் .
104,2001-ம் ஆண்ட்இலிருந்து ஆறு ஆண்டுகளுக்கு பொருளாதாரம் மற்றும் புள்ளியியல் துறை சிறப்பு ஆணையர்ஆகப் பணியாற்றினார் .
105,2006-ம் ஆண்டின் பிற்பகுதியில் உள்துறைச் செயலாளர் பொறுப்பு வகித்தார் .
106,கடந்த சில மாதங்களுக்கு விழிப்புப் பணி மற்றும் கண்காணிப்பு ஆணையர்ஆக நியமிக்கப்பட்டார் .
107,"இதன்பின் , தலைமைச் செயலாளர்ஆக செவ்வாய்க்கிழமை பொறுப்பேற்றுக் கொண்டார் ."
