,lemma,Type,id
0,நவீனம்,Adjectives,5000
1,விமானம்,Conjunctions,5001
2,நிலையம்,Conjunctions,5002
3,நிலம்,Conjunctions,5003
4,பாதிப்பு,Conjunctions,5004
5,வகை,Conjunctions,5005
6,எடு,Verb,5006
7,படு,Verb,5007
8,முதல்வர்,Conjunctions,5008
9,உறுதியளி,Verb,5009
10,உள்,Verb,5010
11,தொடர்பு,Conjunctions,5011
12,புதன்கிழமை,Conjunctions,5012
13,வெளியிடு,Adjectives,5013
14,அறிக்கை,Conjunctions,5014
15,நாடு,Conjunctions,5015
16,போக்குவரத்து,Conjunctions,5016
17,ஏற்படு,Verb,5017
18,வரு,Adjectives,5018
19,வளர்ச்சி,Conjunctions,5019
20,கருத்து,Conjunctions,5020
21,கொள்,Verb,5021
22,முக்கியம்,Adjectives,5022
23,நகரம்,Conjunctions,5023
24,விரிவுபடுத்து,Verb,5024
25,புதிது,Conjunctions,5025
26,சர்வதேசம்,Adjectives,5026
27,அமை,Verb,5027
28,மத்திய,Adjectives,5028
29,அரசு,Conjunctions,5029
30,முடிவு,Conjunctions,5030
31,செய்,Verb,5031
32,அதன்படி,Conjunctions,5032
33,ஆகு,Adjectives,5033
34,மேம்படுத்து,Verb,5034
35,புதிய,Adjectives,5035
36,திட்டம்,Conjunctions,5036
37,உருவாகு,Verb,5037
38,நிறைவேற்று,Verb,5038
39,ஆந்திரம்,Conjunctions,5039
40,முந்து,Verb,5040
41,விடு,Verb,5041
42,ஆனால்,Conjunctions,5042
43,வரிசை,Conjunctions,5043
44,பொது,Conjunctions,5044
45,செயலாளர்,Conjunctions,5045
46,நிறுவனர்,Conjunctions,5046
47,ஆகியோர்,Conjunctions,5047
48,போராட்டம்,Adjectives,5048
49,அறிவிப்பு,Conjunctions,5049
50,கொண்டுவா,Verb,5050
51,தொல்பொருள்,Conjunctions,5051
52,ஆய்வு,Conjunctions,5052
53,சட்டம்,Conjunctions,5053
54,மக்கள்,Conjunctions,5054
55,அடிப்படை,Conjunctions,5055
56,உரிமை,Conjunctions,5056
57,பறி,Adjectives,5057
58,திரும்பு,Verb,5058
59,பெறு,Verb,5059
60,வேண்டு,Verb,5060
61,பொதுச்செயலர்,Conjunctions,5061
62,கோரிக்கை,Conjunctions,5062
63,இதுகுறித்து,Conjunctions,5063
64,பண்பாடு,Conjunctions,5064
65,அடையாளம்,Conjunctions,5065
66,பாதுகா,Verb,5066
67,துறை,Conjunctions,5067
68,தனி,Adjectives,5068
69,இயற்று,Verb,5069
70,அமைப்பு,Conjunctions,5070
71,முன்பு,Conjunctions,5071
72,பகுதி,Conjunctions,5072
73,வாழ்,Conjunctions,5073
74,வா,Verb,5074
75,அப்படி,Conjunctions,5075
76,வாழ்விடம்,Conjunctions,5076
77,அகற்று,Verb,5077
78,உள்நாடு,Conjunctions,5078
79,அகதி,Conjunctions,5079
80,மாற்று,Adjectives,5080
81,மத்தி,Conjunctions,5081
82,ஆளு,Adjectives,5082
83,கூட்டணி,Conjunctions,5083
84,ஒரு,Adjectives,5084
85,உள்ளிடு,Adjectives,5085
86,மாநிலம்,Conjunctions,5086
87,மொழி,Conjunctions,5087
88,ஆங்கிலம்,Conjunctions,5088
89,அனைத்து,Adjectives,5089
90,நாளிதழ்,Conjunctions,5090
91,முழுப்பக்கம்,Adjectives,5091
92,அளவு,Conjunctions,5092
93,விளம்பரப்படு,Verb,5093
94,நினைவு,Conjunctions,5094
95,சின்னம்,Conjunctions,5095
96,1000,Conjunctions,5096
97,அடி,Conjunctions,5097
98,கட்டுமானம்,Conjunctions,5098
99,கட்டு,Verb,5099
100,அனுமதி,Conjunctions,5100
101,இல்,Verb,5101
102,மீறுவோர்,Conjunctions,5102
103,லட்சம்,Conjunctions,5103
104,அபராதம்,Conjunctions,5104
105,தொகை,Conjunctions,5105
106,மூன்று,Conjunctions,5106
107,ஆண்டு,Conjunctions,5107
108,சிறை,Conjunctions,5108
109,தண்டனை,Conjunctions,5109
110,குடும்பத்தினர்,Conjunctions,5110
111,எண்ணிக்கை,Conjunctions,5111
112,பெருகு,Verb,5112
113,இடம்,Conjunctions,5113
114,நெருக்கடி,Conjunctions,5114
115,நிலை,Conjunctions,5115
116,மூதாதையர்,Conjunctions,5116
117,வீடு,Conjunctions,5117
118,விரிவாக்கம்,Conjunctions,5118
119,கூடுதல்,Adjectives,5119
120,அறை,Conjunctions,5120
121,தாழ்வாரம்,Conjunctions,5121
122,கழிப்பு,Conjunctions,5122
123,உரிமையாளர்,Conjunctions,5123
124,சம்பந்தப்பட்ட,Adjectives,5124
125,அதிகாரி,Conjunctions,5125
126,தண்டி,Verb,5126
127,ஏற்கனவே,Conjunctions,5127
128,ஆய்வுத்துறை,Conjunctions,5128
129,இரு,Verb,5129
130,இடி,Verb,5130
131,அதிகாரம்,Conjunctions,5131
132,வழங்கு,Verb,5132
133,மின்,Conjunctions,5133
134,இணைப்பு,Conjunctions,5134
135,இனி,Conjunctions,5135
136,மாட்டு,Verb,5136
137,சுதந்திரம்,Conjunctions,5137
138,மீன்பிடி,Conjunctions,5138
139,ஒழுங்குமுறை,Conjunctions,5139
140,எதிர்,Verb,5140
141,மீனவ,Conjunctions,5141
142,கிளர்,Verb,5142
143,எழு,Verb,5143
144,போராடு,Verb,5144
145,உலகம்,Conjunctions,5145
146,சிறந்த,Adjectives,5146
147,பட்டியல்,Conjunctions,5147
148,78,Conjunctions,5148
149,கிடை,Verb,5149
150,அமெரிக்கா,Conjunctions,5150
151,பத்திரிகை,Conjunctions,5151
152,சுகாதாரம்,Conjunctions,5152
153,கல்வி,Conjunctions,5153
154,பொருளாதாரம்,Conjunctions,5154
155,அரசியல்,Conjunctions,5155
156,அம்சம்,Conjunctions,5156
157,வை,Verb,5157
158,தொகு,Verb,5158
159,வெளியாகு,Verb,5159
160,அண்டை,Adjectives,5160
161,59,Conjunctions,5161
162,66,Conjunctions,5162
163,ஆகியவை,Conjunctions,5163
164,88,Conjunctions,5164
165,89,Conjunctions,5165
166,பிடு,Verb,5166
167,ஆசியா,Conjunctions,5167
168,முதல்,Conjunctions,5168
169,20,Conjunctions,5169
170,நான்கு,Conjunctions,5170
171,பிடி,Adjectives,5171
172,அகியவை,Conjunctions,5172
173,11,Conjunctions,5173
174,12,Conjunctions,5174
175,14,Conjunctions,5175
176,இதழ்,Conjunctions,5176
177,முறை,Conjunctions,5177
178,கேள்,Conjunctions,5178
179,நடத்து,Adjectives,5179
180,தெரி,Verb,5180
181,வாசகர்,Conjunctions,5181
182,ஆரோக்கியம்,Conjunctions,5182
183,பாதுகாப்பு,Conjunctions,5183
184,நல்ல,Adjectives,5184
185,தகுந்த,Adjectives,5185
186,நாள்,Conjunctions,5186
187,கருது,Adjectives,5187
188,பிற,Verb,5188
189,விரும்பு,Verb,5189
190,கேள்வி,Conjunctions,5190
191,பதில்,Conjunctions,5191
192,தெரிவி,Verb,5192
193,நேசி,Verb,5193
194,தலைவர்,Conjunctions,5194
195,கணிப்பு,Conjunctions,5195
196,இந்தியா,Conjunctions,5196
197,பிரதமர்,Conjunctions,5197
198,முதலிடம்,Conjunctions,5198
199,குறிப்பிடு,Verb,5199
200,தகு,Verb,5200
201,மேலும்,Conjunctions,5201
202,10,Conjunctions,5202
203,ஆயிரம்,Conjunctions,5203
204,ஊதியம்,Conjunctions,5204
205,உயர்வு,Conjunctions,5205
206,அறிவி,Verb,5206
207,முன்னர்,Conjunctions,5207
208,அலுவலகம்,Conjunctions,5208
209,தொகுதி,Conjunctions,5209
210,செலவினம்,Conjunctions,5210
211,படி,Conjunctions,5211
212,தலா,Adjectives,5212
213,5,Conjunctions,5213
214,தலைமை,Conjunctions,5214
215,நடைபெறு,Adjectives,5215
216,அமைச்சரவை,Conjunctions,5216
217,கூட்டம்,Conjunctions,5217
218,முடிவெடு,Verb,5218
219,முன்னதாக,Conjunctions,5219
220,16,Conjunctions,5220
221,80,Conjunctions,5221
222,உயர்த்து,Verb,5222
223,நாடாளுமன்றம்,Conjunctions,5223
224,கூட்டு,Adjectives,5224
225,குழு,Conjunctions,5225
226,பரிந்துரை,Conjunctions,5226
227,ஏல்,Verb,5227
228,கடந்த,Adjectives,5228
229,வாரம்,Conjunctions,5229
230,50,Conjunctions,5230
231,பிரிவினர்,Conjunctions,5231
232,அதிருப்தி,Conjunctions,5232
233,நிதி,Conjunctions,5233
234,அமைச்சர்,Conjunctions,5234
235,ராஷ்ட்ரீயம்,Conjunctions,5235
236,ஐக்கிய,Adjectives,5236
237,ஜனதாதளம்,Conjunctions,5237
238,சனிக்கிழமை,Conjunctions,5238
239,சந்தி,Verb,5239
240,விவகாரம்,Conjunctions,5240
241,உரிய,Adjectives,5241
242,நடவடிக்கை,Conjunctions,5242
243,அப்போது,Conjunctions,5243
244,பல்கலைக்கழகம்,Conjunctions,5244
245,துணைவேந்தர்,Conjunctions,5245
246,இன்று,Conjunctions,5246
247,எதிர்கட்சி,Conjunctions,5247
248,பேசு,Verb,5248
249,சந்திப்பு,Conjunctions,5249
250,மனைவி,Conjunctions,5250
251,உடன்,Conjunctions,5251
252,மரியாதை,Conjunctions,5252
253,நிமித்தம்,Conjunctions,5253
254,செய்திக்குறிப்பு,Conjunctions,5254
255,அருள்மிகு,Adjectives,5255
256,திருக்கோயில்,Conjunctions,5256
257,ஆவணி,Conjunctions,5257
258,திருவிழா,Conjunctions,5258
259,கொடியேற்றம்,Conjunctions,5259
260,தொடங்கு,Verb,5260
261,தொடர்,Conjunctions,5261
262,தொடக்கு,Conjunctions,5262
263,அதிகாலை,Conjunctions,5263
264,1,Conjunctions,5264
265,மணி,Conjunctions,5265
266,நடைதிற,Verb,5266
267,1.30,Conjunctions,5267
268,விஷ்வரூபம்,Conjunctions,5268
269,தரிசனம்,Conjunctions,5269
270,2,Conjunctions,5270
271,உதய,Conjunctions,5271
272,மார்த்தாண்டம்,Conjunctions,5272
273,அபிஷேகம்,Conjunctions,5273
274,மற்ற,Adjectives,5274
275,பூஜை,Conjunctions,5275
276,காலம்,Conjunctions,5276
277,4,Conjunctions,5277
278,வெள்ளி,Conjunctions,5278
279,பல்லக்கு,Conjunctions,5279
280,கொடி,Conjunctions,5280
281,பட்டம்,Conjunctions,5281
282,9,Conjunctions,5282
283,வீதி,Conjunctions,5283
284,உலா,Conjunctions,5284
285,5.20,Conjunctions,5285
286,வேதம்,Conjunctions,5286
287,ஓது,Verb,5287
288,பஞ்வாத்தியம்,Conjunctions,5288
289,முழங்கு,Verb,5289
290,பக்தர்,Conjunctions,5290
291,ஆரோகரா,Conjunctions,5291
292,கோஷம்,Conjunctions,5292
293,செப்பு,Conjunctions,5293
294,மரம்,Conjunctions,5294
295,கொடியேற்று,Verb,5295
296,போட்டி,Conjunctions,5296
297,வீரர்,Conjunctions,5297
298,சூதாட்டம்,Conjunctions,5298
299,ஈடுபடு,Verb,5299
300,வாழ்நாள்,Conjunctions,5300
301,தடை,Conjunctions,5301
302,விதி,Verb,5302
303,அணி,Conjunctions,5303
304,முன்னாள்,Adjectives,5304
305,பேட்ஸ்மேன்,Conjunctions,5305
306,கிரிக்கெட்,Conjunctions,5306
307,மோசடி,Conjunctions,5307
308,இடம்தரு,Verb,5308
309,கூடு,Verb,5309
310,கூறு,Adjectives,5310
311,விளையாடு,Verb,5311
312,தடைவிதி,Verb,5312
313,என்,Verb,5313
314,அளி,Verb,5314
315,முன்வா,Adjectives,5315
316,வெள்ளம்,Conjunctions,5316
317,நிவாரணம்,Conjunctions,5317
318,தயக்கம்,Conjunctions,5318
319,காட்டு,Verb,5319
320,பின்னர்,Conjunctions,5320
321,ஏற்றுக்கொள்,Verb,5321
322,தற்போது,Conjunctions,5322
323,உதவி,Conjunctions,5323
324,நேரடி,Conjunctions,5324
325,சபை,Conjunctions,5325
326,தீர்மானி,Verb,5326
327,பல்வேறு,Adjectives,5327
328,பணியாற்று,Verb,5328
329,எனவே,Conjunctions,5329
330,தகவல்,Conjunctions,5330
331,அனுப்பு,Verb,5331
332,வெளியுறவு,Conjunctions,5332
333,செய்தித்தொடர்பாளர்,Conjunctions,5333
334,கொள்கை,Conjunctions,5334
335,முத்தரப்பு,Conjunctions,5335
336,இறுதிப்போட்டி,Conjunctions,5336
337,நேற்று,Conjunctions,5337
338,முடிவடை,Verb,5338
339,காலை,Conjunctions,5339
340,சொந்த,Adjectives,5340
341,ஊர்,Conjunctions,5341
342,புறப்பட்ட,Verb,5342
343,செல்,Verb,5343
344,நாளை,Conjunctions,5344
345,மாலை,Conjunctions,5345
346,ஏற்பாடு,Conjunctions,5346
347,பாராட்டு,Conjunctions,5347
348,விழா,Conjunctions,5348
349,கல,Verb,5349
350,எதிர்பார்,Verb,5350
351,800,Conjunctions,5351
352,டெஸ்ட்,Conjunctions,5352
353,விக்கெட்டு,Conjunctions,5353
354,வீழ்த்து,Adjectives,5354
355,பெருமை,Conjunctions,5355
356,முரளிதரன்,Conjunctions,5356
357,கௌரவி,Verb,5357
358,தேசியம்,Conjunctions,5358
359,படை,Conjunctions,5359
360,சொந்தம்,Conjunctions,5360
361,ஒன்று,Conjunctions,5361
362,கொலம்பியா,Conjunctions,5362
363,எல்லை,Conjunctions,5363
364,விபத்துக்குள்ளாகு,Verb,5364
365,உயிரிழ,Verb,5365
366,அதிபர்,Conjunctions,5366
367,ரஷ்யா,Conjunctions,5367
368,தயாரிப்பு,Conjunctions,5368
369,ஓடுதளம்,Conjunctions,5369
370,சில,Adjectives,5370
371,நிமிடம்,Conjunctions,5371
372,விசாரணை,Conjunctions,5372
373,தொலைக்காட்சி,Conjunctions,5373
374,தென்மேற்கு,Conjunctions,5374
375,போதைமருந்து,Conjunctions,5375
376,கடத்தல்,Conjunctions,5376
377,குழுவினர்,Conjunctions,5377
378,தேடு,Adjectives,5378
379,பணி,Conjunctions,5379
380,மாசுபடுத்து,Adjectives,5380
381,65,Conjunctions,5381
382,தொழிற்சாலை,Conjunctions,5382
383,மூடு,Verb,5383
384,உத்தரப்பிரதேச,Conjunctions,5384
385,மாசுக்கட்டுப்பாடு,Conjunctions,5385
386,வாரியம்,Conjunctions,5386
387,ஆகஸ்ட்,Conjunctions,5387
388,28,Conjunctions,5388
389,தேதி,Conjunctions,5389
390,ஆறு,Conjunctions,5390
391,நதிநீர்,Conjunctions,5391
392,படுகை,Conjunctions,5392
393,நிர்வாகம்,Conjunctions,5393
394,பயிலரங்கு,Conjunctions,5394
395,பங்கேல்,Verb,5395
396,சுத்தப்படுத்து,Verb,5396
397,மாசு,Conjunctions,5397
398,கட்டுப்பாடு,Conjunctions,5398
399,செயலின்மை,Conjunctions,5399
400,விமர்சி,Verb,5400
401,நதி,Conjunctions,5401
402,செயல்படு,Verb,5402
403,உடன்பாடு,Conjunctions,5403
404,மண்டலம்,Conjunctions,5404
405,அடை,Verb,5405
406,100,Conjunctions,5406
407,மீனவர்,Conjunctions,5407
408,விடுதலை,Conjunctions,5408
409,தாண்டு,Verb,5409
410,புகார்,Conjunctions,5410
411,விடுவி,Verb,5411
412,342,Conjunctions,5412
413,அடுத்த,Adjectives,5413
414,சிறைச்சாலை,Conjunctions,5414
415,துணை,Conjunctions,5415
416,கண்காணிப்பாளர்,Conjunctions,5416
417,அரபிக்,Conjunctions,5417
418,கடல்,Conjunctions,5418
419,மீன்,Conjunctions,5419
420,குற்றச்சாட்டு,Conjunctions,5420
421,அவ்வப்போது,Conjunctions,5421
422,இருதரப்பு,Conjunctions,5422
423,கைது,Conjunctions,5423
424,முஸ்லீம்,Conjunctions,5424
425,ஐந்து,Conjunctions,5425
426,அமெரிக்கர்,Conjunctions,5426
427,நம்பு,Verb,5427
428,சமீபம்,Conjunctions,5428
429,வெளி,Adjectives,5429
430,கவலைப்படு,Verb,5430
431,போ,Verb,5431
432,18,Conjunctions,5432
433,சதவீத,Adjectives,5433
434,ஆராய்ச்சி,Conjunctions,5434
435,மையம்,Conjunctions,5435
436,மாதம்,Conjunctions,5436
437,தொடக்கம்,Conjunctions,5437
438,மார்ச்,Conjunctions,5438
439,2009-ல்,Conjunctions,5439
440,சதவீதத்தினர்,Conjunctions,5440
441,இப்போது,Conjunctions,5441
442,அதிகரி,Verb,5442
443,கிறிஸ்துவர்,Conjunctions,5443
444,48,Conjunctions,5444
445,34,Conjunctions,5445
446,சதவீதம்,Conjunctions,5446
447,குறை,Verb,5447
448,மதம்,Conjunctions,5448
449,குழப்பம்,Conjunctions,5449
450,கண்டனம்,Conjunctions,5450
451,வதந்தி,Conjunctions,5451
452,பெரிதும்,Conjunctions,5452
453,சிக்கு,Verb,5453
454,போலீஸார்,Conjunctions,5454
455,எனப்படு,Adjectives,5455
456,ஆட்டம்,Conjunctions,5456
457,நிகழ்வு,Conjunctions,5457
458,முன்கூட்டி,Conjunctions,5458
459,குற்றம்,Conjunctions,5459
460,சாட்டு,Verb,5460
461,இரண்டு,Conjunctions,5461
462,விசாரி,Verb,5462
463,இதனால்,Conjunctions,5463
464,செய்தியாளர்,Conjunctions,5464
465,மேலாளர்,Conjunctions,5465
466,தூரகரம்,Conjunctions,5466
467,எனினும்,Conjunctions,5467
468,இதுவரை,Conjunctions,5468
469,குற்றம்சாட்டு,Verb,5469
470,எதிர்கொள்,Verb,5470
471,வழக்கறிஞர்,Conjunctions,5471
472,ஒருவர்,Conjunctions,5472
473,நியமி,Verb,5473
474,இப்போதைக்கு,Conjunctions,5474
475,செவ்வாய்க்கிழமை,Conjunctions,5475
476,அங்கிருந்து,Conjunctions,5476
477,கார்,Conjunctions,5477
478,எஸ்டேட்,Conjunctions,5478
479,வழி,Conjunctions,5479
480,மாவட்டம்,Conjunctions,5480
481,குஞ்சப்பனை,Conjunctions,5481
482,செயலர்,Conjunctions,5482
483,தொழிற்சங்கம்,Conjunctions,5483
484,உள்ளிட்டோர்,Conjunctions,5484
485,வரவேல்,Verb,5485
486,அதையடுத்து,Conjunctions,5486
487,ஊராட்சி,Conjunctions,5487
488,ஊர்மக்கள்,Conjunctions,5488
489,சிறப்பு,Adjectives,5489
490,வரவேற்பு,Conjunctions,5490
491,நுழைவாயில்,Conjunctions,5491
492,பிரமுகர்,Conjunctions,5492
493,வழியெங்கு,Conjunctions,5493
494,பொதுமக்கள்,Conjunctions,5494
495,பூங்கொத்து,Conjunctions,5495
496,40,Conjunctions,5496
497,தங்கு,Verb,5497
498,மேற்கொள்,Verb,5498
499,வட்டாரம்,Conjunctions,5499
500,தமிழகம்,Conjunctions,5500
501,31,Conjunctions,5501
502,பொறுப்பேல்,Verb,5502
503,ஓய்வுபெறு,Verb,5503
504,பொறுப்பு,Conjunctions,5504
505,ஏற்கெனவே,Conjunctions,5505
506,வகி,Verb,5506
507,விழிப்பு,Conjunctions,5507
508,கண்காணிப்புத்துறை,Conjunctions,5508
509,ஆணையாளர்,Conjunctions,5509
510,பதவி,Conjunctions,5510
511,வாழ்த்து,Conjunctions,5511
512,ஒப்படை,Verb,5512
513,1977,Conjunctions,5513
514,சேர்,Conjunctions,5514
515,பூர்வீகம்,Conjunctions,5515
516,1954,Conjunctions,5516
517,கன்னடம்,Conjunctions,5517
518,எழுது,Verb,5518
519,விலங்கியல்,Conjunctions,5519
520,படிப்பு,Conjunctions,5520
521,பட்டயம்,Conjunctions,5521
522,திருச்சி,Conjunctions,5522
523,ஆட்சியர்,Conjunctions,5523
524,பயிற்சி,Conjunctions,5524
525,அடுத்தடுத்த,Adjectives,5525
526,சார்பு,Conjunctions,5526
527,இணை,Conjunctions,5527
528,1987,Conjunctions,5528
