,MorphemeSeparated,Morpheme,Part of Speech,Sub Part of Speech,Case,Tense,Person,Number,Gender,Negation,id
0,"{க,்,க,ி,ன,்,ற}",க்கின்ற,Verb,,,Present,3rd Person,Plural,Honorific,,2035
1,"{க,்,க,ி,ன,்,ற}",க்கின்ற,Verb,,,Present,3rd Person,Plural,,,2035
2,"{ீ,ர,்,க,ள,்}",ீர்கள்,Verb,,,,2nd Person,Singular,,,2018
3,"{ா,ர,்,க,ள,்}",ார்கள்,Verb,,,Present,3rd Person,Plural,Honorific,,2036
4,"{ா,ர,்,க,ள,்}",ார்கள்,Verb,,,Future,3rd Person,Plural,Honorific,,2036
5,"{ா,ர,்,க,ள,்}",ார்கள்,Verb,,,Tenseless,3rd Person,Plural,Honorific,,2036
6,"{ீ,ர,்,க,ள,்}",ீர்கள்,Verb,,,,2nd Person,Plural,,,2018
7,"{க,ி,ன,்,ற}",கின்ற,Verb,,,Present,3rd Person,Plural,Honorific,,2035
8,"{க,ி,ற}",க்கிற,Verb,,,Present,3rd Person,Singular,,,2014
9,"{க,்,க,ி,ற}",க்கிற,Verb,,,,1st Person,Plural,,,2014
10,"{க,்,க,ி,ற}",க்கிற,Verb,,,Present,3rd Person,Plural,Honorific,,2014
11,"{க,்,க,ி,ற}",க்கிற,Verb,,,,3rd Person,Singular,Honorific,,2014
12,"{க,ி,ன,்,ற}",கின்ற,Verb,,,Present,3rd Person,Plural,,,2035
13,"{க,்,க,ி,ற}",க்கிற,Verb,,,,2nd Person,Plural,,,2014
14,"{க,்,க,ி,ற}",க்கிற,Verb,,,,1st Person,Singular,,,2014
15,"{ந,்,த,ு}",ந்து,Verb,Lexical verbal particle,,,,,,,2040
16,"{ந,்,த,்}",ந்த்,Verb,Lexical verbal particle,,,,,,,2019
17,"{ட,்,ட,்}",ட்ட்,Verb,Lexical verbal particle,,,,,,,2022
18,"{ட,்,ட,ு}",ட்டு,Verb,Auxiliary verbal particle,,,,,,,2044
19,"{ி,ட,ம,்}",ிடம்,Verb,,Locative,,,,,,2009
20,"{ந,்,த,்}",ந்த்,Verb,Auxiliary verbal particle,,,,,,,2019
21,"{த,்,த,்}",த்த்,Verb,Auxiliary verbal particle,,,,,,,2021
22,"{ட,்,ட,்}",ட்ட்,Verb,Auxiliary verbal particle,,,,,,,2022
23,"{த,்,த,்}",த்த்,Verb,Lexical verbal particle,,,,,,,2021
24,"{ட,்,ட,ு}",ட்டு,Verb,Lexical verbal particle,,,,,,,2044
25,"{த,்,த,ு}",த்து,Verb,Lexical verbal particle,,,,,,,2006
26,"{க,்,க,்}",க்க்,Verb,,Dative,,,,,,2001
27,"{க,்,க,ு}",க்கு,Verb,,Dative,,,,,,2001
28,"{ு,ட,ன,்}",ுடன்,Verb,,Sociative,,,,,,2011
29,"{த,்,த,ு}",த்து,Verb,Auxiliary verbal particle,,,,,,,2006
30,"{ந,்,த,ு}",ந்து,Verb,Auxiliary verbal particle,,,,,,,2040
31,"{ப,்,ப}",ப்ப,Verb,,,,1st Person,Plural,,,2033
32,"{ந,்,த}",ந்த,Verb,,,,1st Person,Plural,,,2019
33,"{ி,ல,்}",ில்,Verb,,Locative,,,,,,2008
34,"{க,ி,ற}",கிற,Verb,,,,2nd Person,Plural,,,2014
35,"{ன,ர,்}",னர்,Verb,,,Present,3rd Person,Plural,Honorific,,2054
36,"{க,ி,ற}",கிற,Verb,,,,1st Person,Plural,,,2014
37,"{க,்,க}",க்க,Verb,,,Future,3rd Person,Singular,,,2025
38,"{ந,்,த}",ந்த,Verb,,,Past,3rd Person,Singular,,,2019
39,"{த,்,த}",த்த,Verb,,,Past,3rd Person,Singular,,,2021
40,"{க,ி,ற}",கிற,Verb,,,,1st Person,Singular,,,2014
41,"{ே,ன,்}",ேன்,Verb,,,,1st Person,Singular,,,2013
42,"{ட,்,ட}",ட்ட,Verb,,,Past,3rd Person,Singular,,,2022
43,"{க,ி,ற}",கிற,Verb,,,Present,3rd Person,Singular,,,2014
44,"{க,ள,்}",கள்,Noun,,,,,Plural,,,2012
45,"{ோ,ம,்}",ோம்,Verb,,,,1st Person,Plural,,,2032
46,"{ு,ம,்}",ும்,Verb,,,Future,3rd Person,Singular,,,2027
47,"{ா,ர,்}",ார்,Verb,,,,3rd Person,Singular,Honorific,,2029
48,"{ந,்,த}",ந்த,Verb,,,,3rd Person,Singular,Honorific,,2019
49,"{ோ,ட,ு}",ோடு,Verb,,Sociative,,,,,,2010
50,"{ட,்,ட}",ட்ட,Verb,,,,3rd Person,Singular,Honorific,,2022
51,"{த,்,த}",த்த,Verb,,,,3rd Person,Singular,Honorific,,2021
52,"{க,ி,ற}",கிற,Verb,,,,3rd Person,Singular,Honorific,,2014
53,"{ி,ன,்}",ின்,Verb,,Genitive,,,,,,2007
54,"{க,ி,ற}",கிற,Verb,,,Present,3rd Person,Plural,Honorific,,2014
55,"{ா,ல,்}",ால்,Verb,,Instrumental,,,,,,2005
56,"{ி,ல,்}",ில்,Verb,,Locative,,,,,,2008
57,"{ா,ல,்}",ால்,Verb,Auxiliary Conditional,,,,,,,2005
58,"{ண,ட,்}",ணட்,Verb,Auxiliary verbal particle,,,,,,,2046
59,"{ண,ட,ு}",ணடு,Verb,Auxiliary verbal particle,,,,,,,2045
60,"{ண,ட,ு}",ணடு,Verb,Lexical verbal particle,,,,,,,2045
61,"{க,ள,ு}",களு,Verb,,Dative,,,,,,2012
62,"{ா,ல,்}",ால்,Verb,,Instrumental,,,,,,2005
63,"{ந,்,த}",ந்த,Verb,,,Past,3rd Person,Plural,,,2019
64,"{ண,ட,்}",ணட்,Verb,Lexical verbal particle,,,,,,,2046
65,"{த,்,த}",த்த,Verb,,,Past,3rd Person,Plural,,,2021
66,"{ா,ல,்}",ால்,Verb,Lexical conditional,,,,,,,2005
67,"{ி,ய}",ிய,Verb,,,Past,3rd Person,Singular,,,2020
68,"{்,ட}",்ட,Verb,,,Past,3rd Person,Singular,,,2022
69,"{த,ு}",து,Verb,,,Tenseless,3rd Person,Singular,,,2006
70,"{ட,்}",ட்,Verb,Lexical verbal particle,,,,,,,2022
71,"{த,ு}",து,Verb,,,Past,3rd Person,Singular,,,2006
72,"{ண,ட}",ணட,Verb,,,Past,3rd Person,Singular,,,2015
73,"{த,ு}",து,Verb,Lexical verbal particle,,,,,,,2006
74,"{ட,ு}",டு,Verb,Auxiliary verbal particle,,,,,,,2039
75,"{க,்}",க்,Verb,,Dative,,,,,,2001
76,"{த,ு}",து,Verb,,,Present,3rd Person,Singular,,,2006
77,"{க,ள}",கள,Noun,,,,,Plural,,,2012
78,"{த,்}",த்,Verb,Lexical verbal particle,,,,,,,2021
79,"{க,ள}",கள,Noun,Participial Nouns,,,,,,,2012
80,"{க,்}",க்,Verb,,Dative,,,,,,2025
81,"{ட,்}",ட்,Verb,Auxiliary verbal particle,,,,,,,2022
82,"{ர,்}",ர்,Verb,,,Past,3rd Person,Plural,Honorific,,2034
83,"{ர,்}",ர்,Verb,,,Future,3rd Person,Plural,Honorific,,2034
84,"{்,ட}",்ட,Verb,,,Past,3rd Person,Plural,,,2022
85,"{த,ு}",து,Verb,,Genitive,,,,,,2006
86,"{ட,ு}",டு,Verb,Auxiliary verbal particle,,,,,,,2039
87,"{த,ு}",து,Verb,Auxiliary verbal particle,,,,,,,2006
88,"{த,்}",த்,Verb,Auxiliary verbal particle,,,,,,,2021
89,"{க,ு}",கு,Verb,,Dative,,,,,,2001
90,"{க,ு}",கு,Verb,,Dative,,,,,,2001
91,"{வ,ர}",வர,Noun,Participial Nouns,,,,,,,2050
92,"{ண,ட}",ணட,Verb,,,,3rd Person,Singular,Honorific,,2015
93,"{்,ட}",்ட,Verb,,,,3rd Person,Singular,Honorific,,2022
94,"{ர,்}",ர்,Verb,,,Present,3rd Person,Plural,Honorific,,2034
95,"{ி,ன}",ின,Verb,,,,3rd Person,Singular,Honorific,,2007
96,"{ண,ட}",ணட,Verb,,,,1st Person,Singular,,,2015
97,{ன},ன,Verb,,,Past,3rd Person,Plural,Honorific,,2017
98,{ன},ன,Verb,,,,1st Person,Singular,,,2017
99,{த},த,Verb,,,Past,3rd Person,Singular,,,2021
100,{ன},ன,Verb,,,Past,3rd Person,Singular,,,2017
101,{க},க,Verb,,,Future,3rd Person,Singular,,,2025
102,{ா},ா,Verb,,,,,,,Negated,2028
103,{வ},வ,Verb,,,,3rd Person,Singular,Honorific,,2031
104,{த},த,Verb,,,,3rd Person,Singular,Honorific,,2021
105,{வ},வ,Verb,,,,1st Person,Plural,,,2031
106,{வ},வ,Verb,,,Future,3rd Person,Plural,Honorific,,2031
107,{ி},ி,Verb,,,Past,3rd Person,Plural,,,2037
108,{ன},ன,Verb,,,Past,3rd Person,Plural,,,2017
109,{ன},ன,Verb,,,Present,3rd Person,Plural,,,2017
110,{த},த,Noun,Participial Nouns,,,,,,,2021
111,{ப},ப,Noun,Participial Nouns,,,,,,,2033
112,{ை},ை,Verb,,Accusative,,,,,,2000
113,ை,ை,Verb,,Accusative,,,,,,2000
